user_id,post_count,like_count_sum,reply_count_sum,repost_count_sum,quote_count
166130,10,151,6,4,2
166147,50,307,36,45,13
166152,17,321,30,24,1
166155,17,294,21,7,0
168389,3,0,0,0,0
168956,5,173,1,81,0
169145,53,629,42,60,10
169154,7,36,5,8,2
169216,4,5,0,0,1
169223,4,6,2,3,0
169236,20,167,12,37,3
169342,60,190,35,29,1
169664,24,111,20,28,3
170772,33,362,24,91,1
172477,267,3289,347,512,60
173004,5,7,0,0,1
173129,3,8,1,0,0
175634,4,3,0,1,1
175660,14,96,9,111,4
175899,8,33,3,6,1
175908,75,204,17,3,3
176489,60,60,10,4,48
177176,9,26,6,0,1
178012,15,479,15,129,2
178128,16,88,6,18,0
178137,8,42,2,8,0
178753,1,9,0,2,1
179438,2,2,0,0,0
179456,2,6,0,2,2
179970,5,19,1,2,1
180141,4,33,0,11,1
183264,88,1202,64,698,1
184303,490,19851,997,4318,177
184325,3,15,1,0,0
184710,6,24,1,0,0
184997,5,16,0,12,0
185697,7,7,2,1,1
185791,3,32,0,1,0
185934,41,161,24,30,16
189727,4,15,2,7,0
189907,56,541,44,81,23
190011,202,1323,54,363,40
190030,39,53,9,6,0
190031,2,10,0,0,0
190032,22,36,11,19,4
190033,2,43,1,5,1
190034,56,79,9,38,23
190169,16,115,9,12,0
193729,5,44,2,5,3
193991,1,0,0,0,0
195198,482,9888,565,1657,84
195455,11,73,4,14,0
195711,4,14,5,1,0
195713,264,1188,283,127,108
198405,9,62,5,6,5
198674,7,9,2,1,1
199034,40,265,23,113,8
199159,40,303,24,75,7
199766,14,36,14,1,9
200248,17,66,3,10,4
200370,2,13,1,0,0
200724,523,3326,334,676,309
200788,13,148,18,6,2
200820,49,1052,67,271,7
200862,86,274,53,60,27
201335,35,688,23,249,3
201506,43,636,70,121,6
201520,16,89,10,35,1
201666,3,15,0,0,0
201846,1,6,1,2,0
202080,1,0,0,0,0
202169,15,16,4,3,1
202467,2,0,0,0,0
202795,5,15,0,0,0
204235,67,192,18,22,30
204380,29,169,15,12,4
204886,1,51,2,32,0
205221,7,71,4,2,0
205849,513,4092,371,728,208
205876,75,150,14,18,14
205881,143,1655,146,258,46
205896,20,110,4,44,2
205899,31,196,11,83,4
206367,1,1,0,0,1
206414,3,15,1,0,0
208394,7,98,4,5,2
210501,1,21,0,6,0
210532,5,30,7,8,1
210822,11,110,5,48,1
210932,3,24,0,3,0
211056,2,0,0,0,0
211076,93,149,13,50,21
211652,346,7294,392,514,40
211914,48,52,6,14,0
211920,31,94,13,26,1
212376,28,127,15,8,1
212533,2,12,1,0,0
212996,185,270,24,54,23
214608,2,6,2,0,0
215307,25,24,1,3,0
215440,1,3,1,0,0
215701,10,49,11,0,1
216004,1,14,2,0,0
216697,2,7,2,4,1
216751,181,782,67,65,18
218604,15,101,6,11,4
219147,1,0,0,0,0
219185,2,6,0,2,0
220010,1,1,0,0,0
220840,2,3,1,0,0
221268,55,556,34,23,8
221307,216,3708,245,508,11
222170,17,769,20,124,11
222917,5,6,2,0,0
223819,2,17,2,9,1
223831,17,26,4,2,4
224008,25,19,3,3,2
224011,1,5,0,0,0
224030,4,5,2,1,0
224088,401,872,56,256,22
224089,1005,4993,786,487,197
225504,6,22,4,9,0
225511,9,40,6,10,2
226028,4,5,0,3,0
226029,96,191,17,112,38
226030,25,79,9,6,2
226031,707,1373,156,358,256
226041,12,5,1,0,4
226042,2,17,1,5,0
226054,3,2,0,3,0
226062,823,2049,195,1639,594
226618,4,55,1,31,1
226773,21,48,13,2,2
229795,11,7,1,0,0
229901,5,43,3,3,0
230215,1,15,0,2,0
236943,6,15,1,1,0
237251,3,17,1,6,0
238972,3,3,0,1,0
240157,229,1644,191,147,56
240435,26,187,10,6,4
241362,4,65,1,40,1
243445,1,1,0,0,0
243657,2,2,1,0,0
243670,18,93,19,18,10
243965,4,2,0,1,0
244441,1,0,0,0,0
245931,112,59,7,3,6
247575,13,15,2,1,7
249901,1,0,0,0,0
250134,1,0,0,0,1
251374,28,37,5,12,18
252266,4,6,0,0,0
252347,2,8,1,0,0
252975,6,8,2,0,0
253580,9,14,1,2,0
253768,1,1,1,0,0
254835,4,18,0,3,1
257673,2,4,0,0,0
257787,2,23,14,2,0
257794,1,29,0,6,0
257801,1,2,0,0,0
260938,1,9,0,3,0
261084,3,13,0,37,1
262794,3,35,2,16,1
262799,14,88,4,33,5
263770,130,1704,83,308,61
263857,4,21,2,6,3
266105,81,53,25,6,16
266308,3,33,1,13,2
268815,3,8,0,0,0
270764,6,10,1,0,0
272018,34,66,14,9,2
273847,12,13,0,1,1
273848,7,23,2,0,0
273849,3,4,0,0,0
273873,10,16,0,0,0
274574,130,165,20,14,19
274582,6,90,1,12,0
274598,3,2,0,0,0
274625,169,2240,145,556,85
